No,名称,用途,"入手方法
※レアドロップはレアな空き缶4つ投入前提（住民4人体制）","必要数
主人公","必要数
住民","必要数
合計","所持数
アレスデータ","所持数
アリスデータ","残数
アレスデータ","残数
アリスデータ",備考
1,レアな空き缶,レアドロップ率アップ強化,釣り（ささやきの森1.8%）,15,25,40,,,40,40,
2,ルーンの結晶,賢者の杖 / クラウン / 豪傑の証 / 賢者の証 / ダイヤモンドブローチ材料,ルーンの結晶をハンマーで叩くと確率で出現,16,49,65,,,65,65,
3,ルーンスフィアのかけら,天ノ村雲ノ剣 / 賢者の杖 / ジェネラルローブ / アネットの首飾り材料,レアドロップ約12%（ガンドアージュ、ヤミよりいでしもの）,17,32,49,11,,38,49,農具は除外（6個分）
4,ジェネラルオーブ,ジェネラルローブ / クラウン / ロケットウィング材料,レアドロップ約12%（ガンドアージュ）,3,7,10,5,1,5,9,
5,グリッタ輝石,射程アップ,キラメ木の伐採で確率で入手,28,42,70,,,70,70,農具は除外（6個分）
6,メッシライト鉱石,メッシライト継承、ダイヤモンドブローチ材料,宝石鉱床採掘（サファイアが確率高）,7,46,53,18,,35,53,農具は除外（6個分）
7,遮光石,属性貫通,エイトールの暗闇2F、リグバースの迷宮17Fの鉱床採掘,8,25,33,,,33,33,
8,無力のリンゴ,属性耐性強化,キラーグリフォンseedサークルorドロップ（流星の日限定）,8,213,221,40,,181,221,双剣・拳組の耐性を99%から97%に妥協する場合は14個減る
9,10倍鉄,装備強化8倍,チロリアの攻撃でドロップ5%弱,22,68,90,,,90,90,農具は除外（6個分）、無力のリンゴ
10,倍鉄,装備強化2倍,チロリアの攻撃でドロップ95%弱,17,33,50,,,50,50,農具は除外（6個分）双剣・拳組の耐性を99%から97%に妥協する場合は7個減る
11,動く枝,装備強化魔攻、賢者の杖 / 賢者の証材料,ハインツ交易品 / レアドロップ約12%（デッドツリー改）,31,12,43,,,43,43,
12,古代魚の羽びれ,装備強化、賢者の杖 / ロケットウィング材料,ハインツ交易品 / 釣り（リグバース低確率）,9,8,17,50,,-33,17,
